nomattribuant;idattribuant;annee;dateconvention;referencedecision;nombeneficiaire;idbeneficiaire;rnabeneficiaire;objet;montant;nature;conditionsversement;datesperiodeversement;idrae;notificationue;pourcentagesubvention;dispositifaide;gid
Métropole de Lyon (Budget principal);20004697700019;2021;;;45 MARYSE BASTIE;;;ECO-LY0N8-45 RUE MARYSE BASTIE-AIDE EV0693881500021T-ACB-;235200,0;aide en numéraire;unique;2021-09-10;;False;1,0;;9979
Métropole de Lyon (Budget principal);20004697700019;2021;;;AGEA BELLEVUE;;;LA MULATIERE BELLEVUE _ Remplacement  de fenêtres- 1;25847,7;aide en numéraire;unique;2021-03-25;;False;1,0;;9980
Métropole de Lyon (Budget principal);20004697700019;2021;;;AGEA BELLEVUE;;;Loi Falloux 2019 - 1;47000,0;aide en numéraire;unique;2021-03-25;;False;1,0;;9981
Métropole de Lyon (Budget principal);20004697700019;2021;;;BROTTEAUX AN 2000;;;ECO2-LY0N 06-18 RUE DE LA GAITE - AIDE EV 0693861700069T-ACB-;106580,62;aide en numéraire;unique;2021-05-04;;False;1,0;;9982
Métropole de Lyon (Budget principal);20004697700019;2021;;;COPROPRIETE EXPLORER;;;ECO2-LY0N7-14-24 JACQUES MONOD-AIDE EV0693871700077T-ACB-;73509,5;aide en numéraire;unique;2021-07-20;;False;1,0;;9983
Métropole de Lyon (Budget principal);20004697700019;2021;;;LA TOURELLE;;;ECO2-LY0N9-19-19B-21 RUE MONTRIBLOUD-AIDE EV0693891600029T-ACB;78746,51;aide en numéraire;unique;2021-09-21;;False;1,0;;9984
Métropole de Lyon (Budget principal);20004697700019;2021;;;LE BANDONNIER;;;ECO2-FEYZIN-11 RUE HENRI LUIZET-AIDE EV 0692760900001T-ACB-;247800,0;aide en numéraire;unique;2021-11-03;;False;1,0;;9985
Métropole de Lyon (Budget principal);20004697700019;2021;;;LE JOLI MAI;;;ECO2-ECULLY-2 RUE AUGUSTE TRAMIER -AIDE EV0690811900005T-ACB-;100800,0;aide en numéraire;unique;2021-05-28;;False;1,0;;9986
Métropole de Lyon (Budget principal);20004697700019;2021;;;LE LIBERATOIN;;;SUB-ECORENOV- 17 A 77B RUE JEAN MOULIN CALUIRE-ACB-;161600,0;aide en numéraire;unique;2021-07-02;;False;1,0;;9987
Métropole de Lyon (Budget principal);20004697700019;2021;;;LE LONDRE 2;;;ECO2-RILLIEUX-2-RUE-DE-LONDRES-AIDE 0692861700005T-ACB-;43400,0;aide en numéraire;unique;2021-07-02;;False;1,0;;9988
Métropole de Lyon (Budget principal);20004697700019;2021;;;LE RACINE;;;ECO2-VILLEURBANNE-144-148 COURS E.ZOLA - AIDE EV06926616000357T-ACB-;219600,0;aide en numéraire;unique;2021-05-11;;False;1,0;;9989
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES CEVENNES;;;ECO2-VENISSIEUX-48 RUE ERNEST RENAN-AIDE EV0692591400002T-ACB-;399000,0;aide en numéraire;unique;2021-12-14;;False;1,0;;9990
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES CHARMILLES;;;ECO2_LYON 8-70-72AV GENERAL FRERE - AIDE EV0693881700041T-ACB-;58800,0;aide en numéraire;unique;2021-03-05;;False;1,0;;9991
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES DESBOIS;;;ECO2-MEYZIEU-65-67 JOSEPH DESBOIS - AIDE EV0692821400001T-ACB-;46000,0;aide en numéraire;unique;2021-03-25;;False;1,0;;9992
Métropole de Lyon (Budget principal);20004697700019;2021;;;LES HAUTS DE CALUIRE;;;ECO2-CALUIRE-19 AV G.DE GAULLE-AIDE EV0690341700003T-ACB-;82600,0;aide en numéraire;unique;2021-10-06;;False;1,0;;9993
