nomattribuant;idattribuant;annee;dateconvention;referencedecision;nombeneficiaire;idbeneficiaire;rnabeneficiaire;categorietiers;objet;montant;nature;naturecomptable;conditionsversement;datesperiodeversement;idrae;notificationue;pourcentagesubvention;dispositifaide;gid
Commune de Lyon;21690123100011;2021;;;ARTS MARTIAUX DU 4;;;;;44500,0;aide en nature;fonctionnement;;;;;;;3286
Commune de Lyon;21690123100011;2021;;2021/1041;ASS CULTURELLE ECOLE PRIM BERLIOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ASS CULTURELLE PRIM BERLIOZ.   Projet : Voyage en musique autour du monde.    Page 26 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;1000,0;aide en numéraire;fonctionnement;unique;2021-10-28;;False;1,0;;3287
Commune de Lyon;21690123100011;2021;;2021/1041;ASS CULTURELLE ECOLE PRIM BERLIOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;9° TSCO ASSOCIATION CULTURELLE ECOLE PRIMAIRE BERLIOZ.   Projet : PIL.   Page 16 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;200,0;aide en numéraire;fonctionnement;unique;2021-10-28;;False;1,0;;3288
Commune de Lyon;21690123100011;2021;;;ASS CULTURELLE ECOLE PRIM BERLIOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. ASSURANCE E910 EE HECTOR BERLIOZ;274,69;aide en numéraire;fonctionnement;unique;2021-10-14;;False;1,0;;3289
Commune de Lyon;21690123100011;2021;;;ASS CULTURELLE ECOLE PRIM BERLIOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E910 EE BERLIOZ;947,6;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3290
Commune de Lyon;21690123100011;2021;;;ASS CULTURELLE ECOLE PRIM BERLIOZ;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E910 EE HECTOR BERLIOZ;1442,0;aide en numéraire;fonctionnement;unique;2021-04-21;;False;1,0;;3291
Commune de Lyon;21690123100011;2021;;;ASS ECOLE MATERNELLE MARC BLOCH;;;25-Caisse des écoles;SUBV. CREDITS LIBRES E713 EM MARC BLOCH;979,8;aide en numéraire;fonctionnement;unique;2021-04-23;;False;1,0;;3292
Commune de Lyon;21690123100011;2021;;;ASS ECOLE MATERNELLE MARC BLOCH;;;25-Caisse des écoles;SUBV. INCE E713 EM MARC BLOCH;1065,0;aide en numéraire;fonctionnement;unique;2021-04-23;;False;1,0;;3293
Commune de Lyon;21690123100011;2021;;;ASS ECOLE MATERNELLE MARC BLOCH;;;25-Caisse des écoles;SUBV.ASSURANCE E713 EM JEAN MACE CHEVREU;285,4;aide en numéraire;fonctionnement;unique;2021-06-19;;False;1,0;;3294
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY (ELEMENTAIRE CHARLES PEGUY)  Projet : Sciences, langage, Basket et Citoyenneté.   Page 25 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;800,0;aide en numéraire;fonctionnement;unique;2021-11-19;;False;1,0;;3295
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY (ELEMENTAIRE CHARLES PEGUY)  Projet : Tous en scène.   Page 25 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;900,0;aide en numéraire;fonctionnement;unique;2021-11-19;;False;1,0;;3296
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° ASSOCIATION SPORTIVE EC ETATS UNIS CHARLES PEGUY (ELEMENTAIRE CHARLES PEGUY)  Projet : Arts et respiration au service de tous.     Page 25 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;400,0;aide en numéraire;fonctionnement;unique;2021-11-19;;False;1,0;;3297
Commune de Lyon;21690123100011;2021;;2020/428;ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY;;;50-Personnes morales de droits privé autres qu'organismes sociaux;8° TSCO ELEMENTAIRE CHARLES PEGUY.   Projet: Séjour libre.   Page 4, Délib n°2020/428 du 17/12/2020.;8000,0;aide en numéraire;fonctionnement;unique;2021-01-21;;False;1,0;;3298
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. CREDITS LIBRES E817 EE C. PEGUY;1430,6;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3299
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV. INCE E817 EE C. PEGUY;2799,0;aide en numéraire;fonctionnement;unique;2021-04-24;;False;1,0;;3300
Commune de Lyon;21690123100011;2021;;;ASS SPORTIVE EC ETATS UNIS CHARLES PEGUY;;;50-Personnes morales de droits privé autres qu'organismes sociaux;SUBV.ASSURANCE E817 EE PEGUY;386,61;aide en numéraire;fonctionnement;unique;2021-06-18;;False;1,0;;3301
Commune de Lyon;21690123100011;2021;;2021/1041;ASS SPORTIVE ET CULTURELLE FRANCOISE HERITIER;;;50-Personnes morales de droits privé autres qu'organismes sociaux;7° TSCO ASS SPORTIVE ET CULTURELLE  FRANCOISE HERITIER.   Projet : Danse C3 - Le croiseur.      Page 24 de l'annexe, Délib n°2021/1041 du CM du 30/09/2021.;500,0;aide en numéraire;fonctionnement;unique;2021-10-26;;False;1,0;;3302
